StudentID,Name,Gender,ParentalSupport,PreviousGrade,StudyHoursPerWeek,ExtracurricularActivities,AttendanceRate,FinalGrade
0,Shaun Caldwell,Female,Medium,77.48357076505616,24.99677718293001,1,61.24821725025618,79.32498831122838
1,Michael Simmons,Male,Low,49.308678494144075,16.623168414563843,0,53.55481329284482,56.435792429090185
2,Bryan Snyder,Male,High,88.23844269050346,25.29815184960087,5,62.075800790000386,94.70787186561431
3,Justin Jacobs,Female,Low,57.61514928204013,8.765316111472131,1,50.0,62.50287733328356
4,Paul Holder,Female,Medium,73.82923312638331,21.491116568067948,2,50.0,82.10379875490366
5,Andrew Benjamin,Male,Low,48.8293152152541,13.967426927108749,4,50.0,47.615230553132676
6,Felicia Miller,Female,Medium,82.89606407753696,22.475966100138663,1,68.01205475362224,92.46338282435605
7,Jennifer Murphy,Female,Low,53.837173645764544,15.175859008409848,5,50.0,49.509380323705805
8,Michael Shaw,Male,Low,47.65262807032524,17.247763576596675,4,53.59245668432405,64.24955979477868
9,Jennifer Gallegos,Female,Low,52.712800217929825,9.32382394219716,1,62.37570137626558,53.13079597159881
10,Katherine Dunn,Female,Low,47.68291153593769,18.586970328171628,3,50.0,59.40934806448517
11,Lisa Carney,Female,Medium,72.67135123214871,18.987998023461998,5,52.37275221433786,81.69494702302619
12,Kiara King,Female,High,86.20981135783018,35.37630436312632,0,72.30857650212701,99.0
13,Kristina Doyle,Female,High,75.43359877671101,21.55406090955216,1,68.60096898891135,84.13301237325544
14,Keith Mason,Male,Medium,66.37541083743484,26.679819015826247,1,76.29474841931749,88.03637504803066
15,Dr. Shelly Hurley,Male,Low,47.188562353795135,12.98955391731324,3,50.0,58.15478389739053
16,Dana Brooks,Female,High,79.93584439832789,21.74290998192776,2,73.35485158689389,86.47555483632843
17,John Khan,Female,High,86.57123666297637,22.58057082972839,5,50.0,75.06440167031178
18,Nicole Wilson,Male,High,80.45987962239394,23.3982634590284,0,86.35418030209226,98.91232779837433
19,Judy Clark,Female,Medium,67.93848149332354,20.120829732009582,3,51.60741605146528,78.06131709073509
20,Terrence Mccoy,Male,Low,57.32824384460777,14.614177440177498,5,50.0,63.96961921475025
21,Taylor Roberts,Female,Medium,73.87111849756732,15.131499980307105,4,64.77376937958192,72.82257137884304
22,Sabrina Anderson,Female,Medium,75.33764102343962,17.878227038695087,4,75.60658595838652,80.2137716077459
23,Robert Hoffman,Male,High,77.87625906893271,35.71135179305932,4,58.91179600880888,99.0
24,Jeff Bray,Female,High,82.27808637737408,33.637715850503554,0,50.0,93.92778507307679
25,Selena Diaz,Male,Medium,75.55461294854933,20.18161834837016,1,69.83849544753694,82.94873195580998
26,Laura Coffey,Male,High,79.24503211288848,25.190017390841,5,88.00511181510853,99.0
27,Joshua Gonzalez,Male,Medium,76.87849009172837,18.600156633591308,1,80.38946352939438,88.9345166622444
28,Bethany Martinez,Female,Low,46.99680655040598,15.067589863652083,2,53.096594152746256,54.259775236414356
29,Monica Smith,Female,High,83.54153125103362,19.886037174007974,0,75.08363814367952,94.97715361085608
30,Vanessa Mccarthy,Female,High,81.99146693885301,23.713117312883274,2,84.0712259663731,88.0320585738481
31,Melanie Frank,Female,Low,59.26139092254469,3.6570796306120528,2,50.0,43.8018098640831
32,Brian Heath,Female,Low,49.93251387631033,13.996115613026397,2,55.76357769356219,59.764961156996804
33,Rebecca Dean,Male,Low,44.7114453552205,15.235979698513706,0,60.054701591666266,54.272694086531125
34,Mary Howe,Male,Low,54.11272456051594,9.58406768850313,1,63.6020990749888,57.021521880854756
35,Jennifer Thomas,Female,Low,43.89578175014489,19.869933816450164,3,76.59660038911078,70.11557590054488
36,Sarah Jones,Female,High,86.04431797502377,18.871171684988294,1,81.92415967178766,94.42763510924293
37,Justin Campbell,Female,High,75.20164938060113,17.6781255989509,0,74.91036374292501,89.61983844884189
38,Kristen Phillips,Male,Low,43.359069755507846,13.12225909279986,4,50.0,46.2766759871399
39,Ashley Morris,Male,Medium,75.98430617934562,23.235491513060772,4,50.0,80.24325588893095
40,Amber Cunningham,Female,Low,53.69233289997705,20.419638457289345,2,50.0,68.03158015668414
41,Diane Fisher,Female,Low,50.85684140594985,9.7055786856553,1,50.0,52.27429579000847
42,Linda Page,Male,Medium,74.4217585880588,23.39340416715648,3,58.759116020654076,81.03586689418783
43,Mark Velazquez,Male,Medium,73.49448152205356,17.807457652496463,3,65.52354872033722,80.0448884293723
44,Joseph Patel,Female,Low,42.60739004816286,11.136863500295902,0,50.0,53.98024117280332
45,Tiffany Bates,Male,Low,46.40077895802646,16.41829968743336,0,66.21030667324472,52.87565681721664
46,Frank Strong,Female,High,82.69680614520107,28.2616143920671,3,74.00207064918197,99.0
47,Laurie Patel,Female,Medium,80.28561113109458,10.118039215078753,3,63.90699678861385,70.24671685371113
48,Kimberly Conway,Male,High,86.71809144784231,32.38270174862948,4,68.72105283487082,99.0
